Close;Data;Day;Week
0.988;22.08.1993;1;1
0.993;29.08.1993;8;2
1.000;05.09.1993;15;3
1.020;12.09.1993;22;4
1.300;19.09.1993;29;5
1.169;26.09.1993;36;6
1.194;03.10.1993;43;7
1.196;10.10.1993;50;8
1.194;17.10.1993;57;9
1.187;24.10.1993;64;10
1.179;31.10.1993;71;11
1.183;07.11.1993;78;12
1.206;14.11.1993;85;13
1.222;21.11.1993;92;14
1.232;28.11.1993;99;15
1.232;05.12.1993;106;16
1.250;12.12.1993;113;17
1.253;19.12.1993;120;18
1.250;26.12.1993;127;19
1.262;02.01.1994;134;20
1.359;09.01.1994;141;21
1.547;16.01.1994;148;22
1.545;23.01.1994;155;23
1.563;30.01.1994;162;24
1.570;06.02.1994;169;25
1.570;13.02.1994;176;26
1.660;20.02.1994;183;27
1.694;27.02.1994;190;28
1.709;06.03.1994;197;29
1.725;13.03.1994;204;30
1.745;20.03.1994;211;31
1.764;27.03.1994;218;32
1.775;03.04.1994;225;33
1.796;10.04.1994;232;34
1.813;17.04.1994;239;35
1.835;24.04.1994;246;36
1.857;01.05.1994;253;37
1.876;08.05.1994;260;38
1.889;15.05.1994;267;39
1.904;22.05.1994;274;40
1.921;29.05.1994;281;41
1.955;05.06.1994;288;42
1.962;12.06.1994;295;43
1.982;19.06.1994;302;44
1.991;26.06.1994;309;45
2.015;03.07.1994;316;46
2.027;10.07.1994;323;47
2.049;17.07.1994;330;48
2.063;24.07.1994;337;49
2.088;31.07.1994;344;50
2.115;07.08.1994;351;51
2.154;14.08.1994;358;52
2.156;21.08.1994;365;53
2.205;28.08.1994;372;54
2.207;04.09.1994;379;55
2.310;11.09.1994;386;56
2.418;18.09.1994;393;57
2.636;25.09.1994;400;58
2.836;02.10.1994;407;59
2.997;09.10.1994;414;60
3.025;16.10.1994;421;61
3.068;23.10.1994;428;62
3.105;30.10.1994;435;63
3.111;06.11.1994;442;64
3.170;13.11.1994;449;65
3.219;20.11.1994;456;66
3.264;27.11.1994;463;67
3.326;04.12.1994;470;68
3.398;11.12.1994;477;69
3.479;18.12.1994;484;70
3.553;25.12.1994;491;71
3.670;01.01.1995;498;72
3.779;08.01.1995;505;73
3.950;15.01.1995;512;74
4.022;22.01.1995;519;75
4.118;29.01.1995;526;76
4.194;05.02.1995;533;77
4.317;12.02.1995;540;78
4.432;19.02.1995;547;79
4.561;26.02.1995;554;80
4.675;05.03.1995;561;81
4.791;12.03.1995;568;82
4.870;19.03.1995;575;83
4.902;26.03.1995;582;84
4.975;02.04.1995;589;85
5.049;09.04.1995;596;86
5.056;16.04.1995;603;87
5.119;23.04.1995;610;88
5.133;30.04.1995;617;89
5.091;07.05.1995;624;90
5.044;14.05.1995;631;91
5.022;21.05.1995;638;92
4.946;28.05.1995;645;93
4.884;04.06.1995;652;94
4.668;11.06.1995;659;95
4.570;18.06.1995;666;96
4.542;25.06.1995;673;97
4.584;02.07.1995;680;98
4.553;09.07.1995;687;99
4.498;16.07.1995;694;100
4.423;23.07.1995;701;101
4.419;30.07.1995;708;102
4.408;06.08.1995;715;103
4.411;13.08.1995;722;104
4.425;20.08.1995;729;105
4.450;27.08.1995;736;106
4.477;03.09.1995;743;107
4.468;10.09.1995;750;108
4.477;17.09.1995;757;109
4.502;24.09.1995;764;110
4.496;01.10.1995;771;111
4.512;08.10.1995;778;112
4.509;15.10.1995;785;113
4.507;22.10.1995;792;114
4.522;29.10.1995;799;115
4.525;05.11.1995;806;116
4.547;12.11.1995;813;117
4.572;19.11.1995;820;118
4.581;26.11.1995;827;119
4.607;03.12.1995;834;120
4.622;10.12.1995;841;121
4.647;17.12.1995;848;122
4.648;24.12.1995;855;123
4.668;31.12.1995;862;124
4.675;07.01.1996;869;125
4.688;14.01.1996;876;126
4.727;21.01.1996;883;127
4.741;28.01.1996;890;128
4.746;04.02.1996;897;129
4.763;11.02.1996;904;130
4.791;18.02.1996;911;131
4.823;25.02.1996;918;132
4.828;03.03.1996;925;133
4.838;10.03.1996;932;134
4.850;17.03.1996;939;135
4.859;24.03.1996;946;136
4.876;31.03.1996;953;137
4.907;07.04.1996;960;138
4.921;14.04.1996;967;139
4.937;21.04.1996;974;140
4.943;28.04.1996;981;141
4.961;05.05.1996;988;142
4.998;12.05.1996;995;143
5.008;19.05.1996;1002;144
5.034;26.05.1996;1009;145
5.054;02.06.1996;1016;146
5.049;09.06.1996;1023;147
5.053;16.06.1996;1030;148
5.109;23.06.1996;1037;149
5.138;30.06.1996;1044;150
5.130;07.07.1996;1051;151
5.153;14.07.1996;1058;152
5.184;21.07.1996;1065;153
5.215;28.07.1996;1072;154
5.265;04.08.1996;1079;155
5.294;11.08.1996;1086;156
5.330;18.08.1996;1093;157
5.356;25.08.1996;1100;158
5.360;01.09.1996;1107;159
5.371;08.09.1996;1114;160
5.386;15.09.1996;1121;161
5.398;22.09.1996;1128;162
5.421;29.09.1996;1135;163
5.430;06.10.1996;1142;164
5.438;13.10.1996;1149;165
5.446;20.10.1996;1156;166
5.460;27.10.1996;1163;167
5.465;03.11.1996;1170;168
5.485;10.11.1996;1177;169
5.496;17.11.1996;1184;170
5.515;24.11.1996;1191;171
5.523;01.12.1996;1198;172
5.543;08.12.1996;1205;173
5.550;15.12.1996;1212;174
5.554;22.12.1996;1219;175
5.554;29.12.1996;1226;176
5.589;05.01.1997;1233;177
5.606;12.01.1997;1240;178
5.619;19.01.1997;1247;179
5.631;26.01.1997;1254;180
5.638;02.02.1997;1261;181
5.653;09.02.1997;1268;182
5.668;16.02.1997;1275;183
5.679;23.02.1997;1282;184
5.694;02.03.1997;1289;185
5.697;09.03.1997;1296;186
5.713;16.03.1997;1303;187
5.722;23.03.1997;1310;188
5.736;30.03.1997;1317;189
5.745;06.04.1997;1324;190
5.753;13.04.1997;1331;191
5.759;20.04.1997;1338;192
5.763;27.04.1997;1345;193
5.769;04.05.1997;1352;194
5.772;11.05.1997;1359;195
5.772;18.05.1997;1366;196
5.774;25.05.1997;1373;197
5.765;01.06.1997;1380;198
5.782;08.06.1997;1387;199
5.783;15.06.1997;1394;200
5.783;22.06.1997;1401;201
5.783;29.06.1997;1408;202
5.785;06.07.1997;1415;203
5.782;13.07.1997;1422;204
5.795;20.07.1997;1429;205
5.801;27.07.1997;1436;206
5.805;03.08.1997;1443;207
5.809;10.08.1997;1450;208
5.817;17.08.1997;1457;209
5.824;24.08.1997;1464;210
5.836;31.08.1997;1471;211
5.840;07.09.1997;1478;212
5.849;14.09.1997;1485;213
5.855;21.09.1997;1492;214
5.860;28.09.1997;1499;215
5.867;05.10.1997;1506;216
5.873;12.10.1997;1513;217
5.874;19.10.1997;1520;218
5.882;26.10.1997;1527;219
5.885;02.11.1997;1534;220
5.895;09.11.1997;1541;221
5.900;16.11.1997;1548;222
5.910;23.11.1997;1555;223
5.923;30.11.1997;1562;224
5.928;07.12.1997;1569;225
5.936;14.12.1997;1576;226
5.948;21.12.1997;1583;227
5.951;28.12.1997;1590;228
5.965;04.01.1998;1597;229
5.988;11.01.1998;1604;230
6.007;18.01.1998;1611;231
6.013;25.01.1998;1618;232
6.028;01.02.1998;1625;233
6.039;08.02.1998;1632;234
6.051;15.02.1998;1639;235
6.062;22.02.1998;1646;236
6.069;01.03.1998;1653;237
6.078;08.03.1998;1660;238
6.087;15.03.1998;1667;239
6.093;22.03.1998;1674;240
6.103;29.03.1998;1681;241
6.110;05.04.1998;1688;242
6.118;12.04.1998;1695;243
6.120;19.04.1998;1702;244
6.123;26.04.1998;1709;245
6.128;03.05.1998;1716;246
6.134;10.05.1998;1723;247
6.146;17.05.1998;1730;248
6.148;24.05.1998;1737;249
6.156;31.05.1998;1744;250
6.159;07.06.1998;1751;251
6.172;14.06.1998;1758;252
6.179;21.06.1998;1765;253
6.187;28.06.1998;1772;254
6.196;05.07.1998;1779;255
6.201;12.07.1998;1786;256
6.208;19.07.1998;1793;257
6.222;26.07.1998;1800;258
6.234;02.08.1998;1807;259
6.256;09.08.1998;1814;260
6.988;16.08.1998;1821;261
11.982;23.08.1998;1828;262
16.972;30.08.1998;1835;263
12.857;06.09.1998;1842;264
14.581;13.09.1998;1849;265
15.590;20.09.1998;1856;266
15.885;27.09.1998;1863;267
15.819;04.10.1998;1870;268
13.539;11.10.1998;1877;269
16.739;18.10.1998;1884;270
16.629;25.10.1998;1891;271
15.629;01.11.1998;1898;272
18.089;08.11.1998;1905;273
17.729;15.11.1998;1912;274
18.229;22.11.1998;1919;275
20.589;29.11.1998;1926;276
21.279;06.12.1998;1933;277
21.859;13.12.1998;1940;278
20.240;20.12.1998;1947;279
20.600;27.12.1998;1954;280
23.280;03.01.1999;1961;281
22.680;10.01.1999;1968;282
23.280;17.01.1999;1975;283
22.930;24.01.1999;1982;284
23.230;31.01.1999;1989;285
22.870;07.02.1999;1996;286
23.080;14.02.1999;2003;287
23.055;21.02.1999;2010;288
23.380;28.02.1999;2017;289
23.400;07.03.1999;2024;290
23.930;14.03.1999;2031;291
26.870;21.03.1999;2038;292
26.180;28.03.1999;2045;293
25.555;04.04.1999;2052;294
25.530;11.04.1999;2059;295
24.880;18.04.1999;2066;296
24.570;25.04.1999;2073;297
24.545;02.05.1999;2080;298
25.430;09.05.1999;2087;299
24.804;16.05.1999;2094;300
24.689;23.05.1999;2101;301
24.549;30.05.1999;2108;302
24.414;06.06.1999;2115;303
24.334;13.06.1999;2122;304
24.364;20.06.1999;2129;305
24.474;27.06.1999;2136;306
24.404;04.07.1999;2143;307
24.314;11.07.1999;2150;308
24.239;18.07.1999;2157;309
24.224;25.07.1999;2164;310
24.704;01.08.1999;2171;311
24.964;08.08.1999;2178;312
24.904;15.08.1999;2185;313
24.789;22.08.1999;2192;314
25.874;29.08.1999;2199;315
25.744;05.09.1999;2206;316
25.554;12.09.1999;2213;317
25.359;19.09.1999;2220;318
25.489;26.09.1999;2227;319
25.774;03.10.1999;2234;320
25.934;10.10.1999;2241;321
25.754;17.10.1999;2248;322
26.084;24.10.1999;2255;323
26.254;31.10.1999;2262;324
26.333;07.11.1999;2269;325
26.423;14.11.1999;2276;326
26.468;21.11.1999;2283;327
26.783;28.11.1999;2290;328
26.923;05.12.1999;2297;329
26.763;12.12.1999;2304;330
26.738;19.12.1999;2311;331
27.528;26.12.1999;2318;332
27.433;02.01.2000;2325;333
28.633;09.01.2000;2332;334
28.508;16.01.2000;2339;335
28.613;23.01.2000;2346;336
28.767;30.01.2000;2353;337
28.852;06.02.2000;2360;338
28.812;13.02.2000;2367;339
28.686;20.02.2000;2374;340
28.596;27.02.2000;2381;341
28.481;05.03.2000;2388;342
28.413;12.03.2000;2395;343
28.326;19.03.2000;2402;344
28.637;26.03.2000;2409;345
28.622;02.04.2000;2416;346
28.464;09.04.2000;2423;347
28.591;16.04.2000;2430;348
28.406;23.04.2000;2437;349
28.376;30.04.2000;2444;350
28.256;07.05.2000;2451;351
28.316;14.05.2000;2458;352
28.261;21.05.2000;2465;353
28.376;28.05.2000;2472;354
28.366;04.06.2000;2479;355
28.262;11.06.2000;2486;356
28.138;18.06.2000;2493;357
