Year;GDPrub;GDPusd;Year abs
1;1428.5;395.54;1995
2;2007.8;391.72;1996
3;2342.5;404.93;1997
4;2629.6;290.23;1998
5;4823.2;209.77;1999
6;7305.6;278.07;2000
7;8943.6;328.27;2001
8;10830.5;369.9;2002
9;13080.2;460.74;2003
10;17027.2;632.76;2004
11;21609.8;817.75;2005
12;26917.2;1059.99;2006
13;33247.5;1391.68;2007
14;41276.8;1778.39;2008
15;38807.2;1309.17;2009
16;46308.5;1632.84;2010
17;60114.0;2044.61;2011
18;68103.4;2202.67;2012
19;72085.7;2289.24;2013
20;79030.0;2056.58;2014
21;83087.4;1363.70;2015
22;85616.1;1282.66;2016
23;91843.2;1578.41;2017
24;103861.7;1630.66;2018
25;109608.3;1693.32;2019
26;107658.2;1491.73;2020
27;135295.0;1780.00;2021
28;151455.6;2130.00;2022
